source_id,relationship_type,target_id,properties
SUP-001,SUPPLIES,BATCH-RICE-001,{}
SUP-001,SUPPLIES,BATCH-TOMATO-001,{}
SUP-001,SUPPLIES,BATCH-CHICKPEA-001,{}
SUP-002,SUPPLIES,BATCH-CREAM-001,{}
SUP-002,SUPPLIES,BATCH-BUTTER-001,{}
SUP-002,SUPPLIES,BATCH-PANEER-002,{}
SUP-002,SUPPLIES,BATCH-PANEER-001,{}
SUP-003,SUPPLIES,BATCH-SPINACH-001,{}
SUP-004,SUPPLIES,BATCH-SPICE-001,{}
SUP-005,SUPPLIES,BATCH-CHICKEN-001,{}
BATCH-SPINACH-001,PROCESSED_AT,FAC-001,{'timestamp': '2025-09-08T12:00:00+05:30'}
BATCH-PANEER-001,PROCESSED_AT,FAC-001,{'timestamp': '2025-09-09T10:00:00+05:30'}
BATCH-PANEER-002,PROCESSED_AT,FAC-001,{'timestamp': '2025-09-11T09:00:00+05:30'}
BATCH-CHICKEN-001,PROCESSED_AT,FAC-001,{'timestamp': '2025-09-09T08:00:00+05:30'}
BATCH-CREAM-001,PROCESSED_AT,FAC-002,{'timestamp': '2025-09-06T14:00:00+05:30'}
BATCH-PANEER-001,PROCESSED_AT,FAC-002,{'timestamp': '2025-09-09T14:00:00+05:30'}
BATCH-CHICKEN-001,PROCESSED_AT,FAC-002,{'timestamp': '2025-09-09T12:00:00+05:30'}
BATCH-PANEER-001,PROCESSED_AT,FAC-003,{'timestamp': '2025-09-09T16:00:00+05:30'}
BATCH-TOMATO-001,PROCESSED_AT,FAC-004,{'timestamp': '2025-09-09T15:00:00+05:30'}
BATCH-RICE-001,PROCESSED_AT,FAC-004,{'timestamp': '2025-08-21T10:00:00+05:30'}
BATCH-PANEER-001,DELIVERED_TO,CK-001,"{'delivery_date': '2025-09-10T09:00:00+05:30', 'qty_kg': '25.0'}"
BATCH-PANEER-001,DELIVERED_TO,CK-003,"{'delivery_date': '2025-09-10T16:30:00+05:30', 'qty_kg': '20.0'}"
BATCH-PANEER-001,DELIVERED_TO,CK-005,"{'delivery_date': '2025-09-11T08:00:00+05:30', 'qty_kg': '12.0'}"
BATCH-PANEER-001,DELIVERED_TO,CK-002,"{'delivery_date': '2025-09-10T13:00:00+05:30', 'qty_kg': '18.0'}"
BATCH-PANEER-002,DELIVERED_TO,CK-001,"{'delivery_date': '2025-09-11T10:00:00+05:30', 'qty_kg': '22.0'}"
BATCH-PANEER-002,DELIVERED_TO,CK-004,"{'delivery_date': '2025-09-11T11:00:00+05:30', 'qty_kg': '15.0'}"
BATCH-SPINACH-001,DELIVERED_TO,CK-001,"{'delivery_date': '2025-09-08T18:00:00+05:30', 'qty_kg': '10.0'}"
BATCH-CHICKEN-001,DELIVERED_TO,CK-005,"{'delivery_date': '2025-09-09T21:00:00+05:30', 'qty_kg': '20.0'}"
BATCH-CHICKEN-001,DELIVERED_TO,CK-002,"{'delivery_date': '2025-09-09T20:00:00+05:30', 'qty_kg': '30.0'}"
BATCH-RICE-001,DELIVERED_TO,CK-001,"{'delivery_date': '2025-08-22T09:00:00+05:30', 'qty_kg': '100.0'}"
BATCH-RICE-001,DELIVERED_TO,CK-003,"{'delivery_date': '2025-08-22T10:00:00+05:30', 'qty_kg': '80.0'}"
BATCH-TOMATO-001,DELIVERED_TO,CK-004,"{'delivery_date': '2025-09-10T10:00:00+05:30', 'qty_kg': '25.0'}"
BATCH-TOMATO-001,DELIVERED_TO,CK-002,"{'delivery_date': '2025-09-09T19:00:00+05:30', 'qty_kg': '40.0'}"
BATCH-BUTTER-001,DELIVERED_TO,CK-002,"{'delivery_date': '2025-09-06T10:00:00+05:30', 'qty_kg': '15.0'}"
BATCH-BUTTER-001,DELIVERED_TO,CK-001,"{'delivery_date': '2025-09-06T09:00:00+05:30', 'qty_kg': '15.0'}"
BATCH-SPICE-001,DELIVERED_TO,CK-004,"{'delivery_date': '2025-08-26T09:00:00+05:30', 'qty_kg': '5.0'}"
BATCH-SPICE-001,DELIVERED_TO,CK-001,"{'delivery_date': '2025-08-26T09:00:00+05:30', 'qty_kg': '5.0'}"
BATCH-CHICKPEA-001,DELIVERED_TO,CK-004,"{'delivery_date': '2025-08-23T09:00:00+05:30', 'qty_kg': '50.0'}"
BATCH-CREAM-001,DELIVERED_TO,CK-001,"{'delivery_date': '2025-09-07T09:00:00+05:30', 'qty_kg': '10.0'}"
BATCH-CREAM-001,DELIVERED_TO,CK-004,"{'delivery_date': '2025-09-07T10:00:00+05:30', 'qty_kg': '8.0'}"
CK-005,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-09T11:00:00+05:30', 'qty_kg': '4.0'}"
CK-005,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T12:00:00+05:30', 'qty_kg': '5.0'}"
CK-002,USED_IN,DSH-001,"{'batch_id': 'BATCH-BUTTER-001', 'timestamp': '2025-09-10T12:00:00+05:30', 'qty_kg': '3.0'}"
CK-001,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T12:00:00+05:30', 'qty_kg': '5.0'}"
CK-001,USED_IN,DSH-001,"{'batch_id': 'BATCH-BUTTER-001', 'timestamp': '2025-09-10T12:00:00+05:30', 'qty_kg': '3.0'}"
CK-001,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T15:30:00+05:30', 'qty_kg': '6.0'}"
CK-002,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T15:30:00+05:30', 'qty_kg': '6.0'}"
CK-003,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T15:30:00+05:30', 'qty_kg': '6.0'}"
CK-003,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T12:00:00+05:30', 'qty_kg': '5.0'}"
CK-004,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-002', 'timestamp': '2025-09-11T19:00:00+05:30', 'qty_kg': '5.0'}"
CK-002,USED_IN,DSH-001,"{'batch_id': 'BATCH-TOMATO-001', 'timestamp': '2025-09-10T13:00:00+05:30', 'qty_kg': '6.0'}"
CK-001,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-09T11:00:00+05:30', 'qty_kg': '4.0'}"
CK-005,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-11T09:00:00+05:30', 'qty_kg': '6.0'}"
CK-004,USED_IN,DSH-001,"{'batch_id': 'BATCH-CREAM-001', 'timestamp': '2025-09-10T12:10:00+05:30', 'qty_kg': '2.0'}"
CK-002,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T12:00:00+05:30', 'qty_kg': '5.0'}"
CK-003,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-11T09:00:00+05:30', 'qty_kg': '6.0'}"
CK-002,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-11T09:00:00+05:30', 'qty_kg': '6.0'}"
CK-001,USED_IN,DSH-001,"{'batch_id': 'BATCH-CREAM-001', 'timestamp': '2025-09-10T12:10:00+05:30', 'qty_kg': '2.0'}"
CK-003,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-09T11:00:00+05:30', 'qty_kg': '4.0'}"
CK-001,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-002', 'timestamp': '2025-09-11T19:00:00+05:30', 'qty_kg': '5.0'}"
CK-004,USED_IN,DSH-001,"{'batch_id': 'BATCH-TOMATO-001', 'timestamp': '2025-09-10T13:00:00+05:30', 'qty_kg': '6.0'}"
CK-002,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-09T11:00:00+05:30', 'qty_kg': '4.0'}"
CK-001,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-11T09:00:00+05:30', 'qty_kg': '6.0'}"
CK-005,USED_IN,DSH-001,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T15:30:00+05:30', 'qty_kg': '6.0'}"
CK-001,USED_IN,DSH-002,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T12:30:00+05:30', 'qty_kg': '4.0'}"
CK-001,USED_IN,DSH-002,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-11T09:30:00+05:30', 'qty_kg': '5.0'}"
CK-001,USED_IN,DSH-002,"{'batch_id': 'BATCH-SPINACH-001', 'timestamp': '2025-09-09T12:00:00+05:30', 'qty_kg': '3.0'}"
CK-005,USED_IN,DSH-002,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-11T09:30:00+05:30', 'qty_kg': '5.0'}"
CK-002,USED_IN,DSH-002,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-11T09:30:00+05:30', 'qty_kg': '5.0'}"
CK-003,USED_IN,DSH-002,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T12:30:00+05:30', 'qty_kg': '4.0'}"
CK-002,USED_IN,DSH-002,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T12:30:00+05:30', 'qty_kg': '4.0'}"
CK-005,USED_IN,DSH-002,"{'batch_id': 'BATCH-PANEER-001', 'timestamp': '2025-09-10T12:30:00+05:30', 'qty_kg': '4.0'}"
