id,type,timestamp,actor,detail
EVT-07e88389-bbf6-4bcf-9a9c-03963a0ade87,MENU_PULL,2026-09-19T10:03:37.364000+00:00,test_runner,"Pulled from menus: Spice Hub Kitchen -> Paneer Butter Masala, Spice Hub Kitchen -> Paneer Kathi Roll, Spice Hub Kitchen -> Palak Paneer, Spice Hub Kitchen -> Paneer Tikka, Urban Tiffin -> Paneer Kathi Roll, Urban Tiffin -> Paneer Butter Masala, Urban Tiffin -> Paneer Tikka, Urban Tiffin -> Palak Paneer, Tandoori Nights -> Paneer Tikka, Tandoori Nights -> Palak Paneer, Tandoori Nights -> Paneer Kathi Roll, Tandoori Nights -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Tikka, Delhi Biryani Co. -> Palak Paneer"
EVT-0e2b3f77-84e3-4e5d-8dfa-47027c2e79cb,MENU_PULL,2026-09-19T10:10:46.799000+00:00,test_runner,"Pulled from menus: Spice Hub Kitchen -> Paneer Butter Masala, Spice Hub Kitchen -> Paneer Kathi Roll, Spice Hub Kitchen -> Palak Paneer, Spice Hub Kitchen -> Paneer Tikka, Urban Tiffin -> Paneer Kathi Roll, Urban Tiffin -> Paneer Butter Masala, Urban Tiffin -> Paneer Tikka, Urban Tiffin -> Palak Paneer, Tandoori Nights -> Paneer Tikka, Tandoori Nights -> Palak Paneer, Tandoori Nights -> Paneer Kathi Roll, Tandoori Nights -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Tikka, Delhi Biryani Co. -> Palak Paneer"
EVT-1168d3f2-e8cb-4cc0-895c-7904ecd08541,MENU_RESTORE,2026-09-19T10:13:23.545000+00:00,test_runner,Restored 16 menu items
EVT-1bad66dc-e20f-4575-afc9-abd9321cbba9,MENU_RESTORE,2026-09-19T10:39:30.140000+00:00,web,Restored 0 menu items
EVT-5b730960-7a34-4e1e-bf76-f375aeb71bce,MENU_RESTORE,2026-09-19T10:30:10.882000+00:00,test_runner,Restored 16 menu items
EVT-5d7a2962-9d58-44f2-ae33-7b2371b62ba0,MENU_PULL,2026-09-19T10:03:12.015000+00:00,test_runner,"Pulled from menus: Spice Hub Kitchen -> Paneer Butter Masala, Spice Hub Kitchen -> Paneer Kathi Roll, Spice Hub Kitchen -> Palak Paneer, Spice Hub Kitchen -> Paneer Tikka, Urban Tiffin -> Paneer Kathi Roll, Urban Tiffin -> Paneer Butter Masala, Urban Tiffin -> Paneer Tikka, Urban Tiffin -> Palak Paneer, Tandoori Nights -> Paneer Tikka, Tandoori Nights -> Palak Paneer, Tandoori Nights -> Paneer Kathi Roll, Tandoori Nights -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Tikka, Delhi Biryani Co. -> Palak Paneer"
EVT-6dcd8644-bec4-4d07-9445-c2f95ecc24bc,MENU_PULL,2026-09-19T10:13:23.536000+00:00,test_runner,"Pulled from menus: Spice Hub Kitchen -> Paneer Butter Masala, Spice Hub Kitchen -> Paneer Kathi Roll, Spice Hub Kitchen -> Palak Paneer, Spice Hub Kitchen -> Paneer Tikka, Urban Tiffin -> Paneer Kathi Roll, Urban Tiffin -> Paneer Butter Masala, Urban Tiffin -> Paneer Tikka, Urban Tiffin -> Palak Paneer, Tandoori Nights -> Paneer Tikka, Tandoori Nights -> Palak Paneer, Tandoori Nights -> Paneer Kathi Roll, Tandoori Nights -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Tikka, Delhi Biryani Co. -> Palak Paneer"
EVT-73f44595-7274-40d4-ac1b-bcbad5fd9727,MENU_RESTORE,2026-09-19T10:59:09.775000+00:00,web,Restored 4 menu items
EVT-75142001-98ad-41fa-a9e4-ae4aa5763e95,CUSTOMER_NOTIFICATION,2026-09-19T10:24:42.510000+00:00,web,SMS notifications for 1 orders
EVT-84ba2dcc-cacd-402a-a7cb-67ae07c9fd2b,CUSTOMER_NOTIFICATION,2026-09-19T09:06:27.949000+00:00,web,SMS notifications for 15 orders
