source_id,target_id,quantity
ORD-1018,DSH-001,1
ORD-1016,DSH-001,1
ORD-1007,DSH-001,1
ORD-1003,DSH-001,2
ORD-1011,DSH-001,1
ORD-1001,DSH-001,1
ORD-1014,DSH-002,2
ORD-1010,DSH-002,1
ORD-1005,DSH-002,1
ORD-1002,DSH-002,1
ORD-1021,DSH-003,1
ORD-1008,DSH-003,2
ORD-1012,DSH-003,1
ORD-1011,DSH-004,1
ORD-1004,DSH-004,1
ORD-1020,DSH-004,1
ORD-1017,DSH-005,1
ORD-1006,DSH-005,1
ORD-1013,DSH-006,1
ORD-1002,DSH-006,1
ORD-1018,DSH-007,1
ORD-1006,DSH-007,1
ORD-1015,DSH-007,1
ORD-1004,DSH-008,1
ORD-1015,DSH-008,1
ORD-1009,DSH-008,1
ORD-1010,DSH-009,1
ORD-1019,DSH-009,1
ORD-1009,DSH-010,2
ORD-1013,DSH-010,1
