source_id,target_id,status,channel,notified_at
CUS-001,ORD-1001,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-001,ORD-1013,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-002,ORD-1002,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-002,ORD-1016,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-003,ORD-1014,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-003,ORD-1003,NOTIFIED,SMS,2026-09-19T10:59:18.740000+00:00
CUS-005,ORD-1005,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-006,ORD-1018,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-007,ORD-1007,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-007,ORD-1021,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-008,ORD-1008,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-009,ORD-1009,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-010,ORD-1010,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-011,ORD-1011,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
CUS-012,ORD-1012,NOTIFIED,SMS,2026-09-19T10:39:32.070000+00:00
