source_id,target_id,delivery_date,qty_kg
BATCH-PANEER-001,CK-001,2025-09-10T09:00:00+05:30,25.0
BATCH-PANEER-001,CK-003,2025-09-10T16:30:00+05:30,20.0
BATCH-PANEER-001,CK-005,2025-09-11T08:00:00+05:30,12.0
BATCH-PANEER-001,CK-002,2025-09-10T13:00:00+05:30,18.0
BATCH-PANEER-002,CK-001,2025-09-11T10:00:00+05:30,22.0
BATCH-PANEER-002,CK-004,2025-09-11T11:00:00+05:30,15.0
BATCH-SPINACH-001,CK-001,2025-09-08T18:00:00+05:30,10.0
BATCH-CHICKEN-001,CK-005,2025-09-09T21:00:00+05:30,20.0
BATCH-CHICKEN-001,CK-002,2025-09-09T20:00:00+05:30,30.0
BATCH-RICE-001,CK-001,2025-08-22T09:00:00+05:30,100.0
BATCH-RICE-001,CK-003,2025-08-22T10:00:00+05:30,80.0
BATCH-TOMATO-001,CK-004,2025-09-10T10:00:00+05:30,25.0
BATCH-TOMATO-001,CK-002,2025-09-09T19:00:00+05:30,40.0
BATCH-BUTTER-001,CK-002,2025-09-06T10:00:00+05:30,15.0
BATCH-BUTTER-001,CK-001,2025-09-06T09:00:00+05:30,15.0
BATCH-SPICE-001,CK-004,2025-08-26T09:00:00+05:30,5.0
BATCH-SPICE-001,CK-001,2025-08-26T09:00:00+05:30,5.0
BATCH-CHICKPEA-001,CK-004,2025-08-23T09:00:00+05:30,50.0
BATCH-CREAM-001,CK-001,2025-09-07T09:00:00+05:30,10.0
BATCH-CREAM-001,CK-004,2025-09-07T10:00:00+05:30,8.0
