source_id,target_id,timestamp
BATCH-SPINACH-001,FAC-001,2025-09-08T12:00:00+05:30
BATCH-PANEER-001,FAC-001,2025-09-09T10:00:00+05:30
BATCH-PANEER-002,FAC-001,2025-09-11T09:00:00+05:30
BATCH-CHICKEN-001,FAC-001,2025-09-09T08:00:00+05:30
BATCH-CREAM-001,FAC-002,2025-09-06T14:00:00+05:30
BATCH-PANEER-001,FAC-002,2025-09-09T14:00:00+05:30
BATCH-CHICKEN-001,FAC-002,2025-09-09T12:00:00+05:30
BATCH-PANEER-001,FAC-003,2025-09-09T16:00:00+05:30
BATCH-TOMATO-001,FAC-004,2025-09-09T15:00:00+05:30
BATCH-RICE-001,FAC-004,2025-08-21T10:00:00+05:30
